{'r_arm': 177},{'l_arm': 173},{'r_leg': 74},{'l_leg': 160},{'r_shoulder': 142},{'l_shoulder': 86},{'r_hip': 110},{'l_hip': 176},hold
{'r_arm': 177},{'l_arm': 173},{'r_leg': 74},{'l_leg': 160},{'r_shoulder': 142},{'l_shoulder': 86},{'r_hip': 110},{'l_hip': 176},hold
{'r_arm': 177},{'l_arm': 173},{'r_leg': 74},{'l_leg': 160},{'r_shoulder': 142},{'l_shoulder': 86},{'r_hip': 110},{'l_hip': 176},hold
{'r_arm': 177},{'l_arm': 173},{'r_leg': 74},{'l_leg': 160},{'r_shoulder': 142},{'l_shoulder': 86},{'r_hip': 110},{'l_hip': 176},hold
{'r_arm': 177},{'l_arm': 173},{'r_leg': 74},{'l_leg': 160},{'r_shoulder': 142},{'l_shoulder': 86},{'r_hip': 110},{'l_hip': 176},hold
{'r_arm': 178},{'l_arm': 173},{'r_leg': 74},{'l_leg': 160},{'r_shoulder': 142},{'l_shoulder': 86},{'r_hip': 110},{'l_hip': 176},hold
{'r_arm': 178},{'l_arm': 173},{'r_leg': 74},{'l_leg': 160},{'r_shoulder': 142},{'l_shoulder': 86},{'r_hip': 110},{'l_hip': 176},hold
{'r_arm': 178},{'l_arm': 173},{'r_leg': 74},{'l_leg': 160},{'r_shoulder': 142},{'l_shoulder': 86},{'r_hip': 110},{'l_hip': 176},hold
{'r_arm': 178},{'l_arm': 173},{'r_leg': 74},{'l_leg': 160},{'r_shoulder': 141},{'l_shoulder': 86},{'r_hip': 110},{'l_hip': 176},hold
{'r_arm': 178},{'l_arm': 173},{'r_leg': 74},{'l_leg': 160},{'r_shoulder': 141},{'l_shoulder': 86},{'r_hip': 110},{'l_hip': 175},hold
{'r_arm': 179},{'l_arm': 173},{'r_leg': 74},{'l_leg': 160},{'r_shoulder': 141},{'l_shoulder': 86},{'r_hip': 110},{'l_hip': 175},hold
{'r_arm': 179},{'l_arm': 173},{'r_leg': 74},{'l_leg': 160},{'r_shoulder': 141},{'l_shoulder': 86},{'r_hip': 110},{'l_hip': 175},hold
{'r_arm': 179},{'l_arm': 173},{'r_leg': 74},{'l_leg': 159},{'r_shoulder': 141},{'l_shoulder': 86},{'r_hip': 110},{'l_hip': 175},hold
{'r_arm': 161},{'l_arm': 168},{'r_leg': 147},{'l_leg': 74},{'r_shoulder': 63},{'l_shoulder': 134},{'r_hip': 177},{'l_hip': 108},hold
{'r_arm': 160},{'l_arm': 169},{'r_leg': 152},{'l_leg': 74},{'r_shoulder': 62},{'l_shoulder': 135},{'r_hip': 179},{'l_hip': 109},hold
{'r_arm': 162},{'l_arm': 169},{'r_leg': 153},{'l_leg': 74},{'r_shoulder': 64},{'l_shoulder': 132},{'r_hip': 178},{'l_hip': 111},hold
{'r_arm': 163},{'l_arm': 169},{'r_leg': 153},{'l_leg': 76},{'r_shoulder': 66},{'l_shoulder': 131},{'r_hip': 177},{'l_hip': 111},hold
{'r_arm': 164},{'l_arm': 169},{'r_leg': 151},{'l_leg': 77},{'r_shoulder': 67},{'l_shoulder': 131},{'r_hip': 175},{'l_hip': 112},hold
{'r_arm': 164},{'l_arm': 170},{'r_leg': 151},{'l_leg': 78},{'r_shoulder': 67},{'l_shoulder': 131},{'r_hip': 174},{'l_hip': 113},hold
{'r_arm': 165},{'l_arm': 170},{'r_leg': 149},{'l_leg': 78},{'r_shoulder': 68},{'l_shoulder': 131},{'r_hip': 174},{'l_hip': 113},hold
{'r_arm': 166},{'l_arm': 169},{'r_leg': 150},{'l_leg': 78},{'r_shoulder': 68},{'l_shoulder': 130},{'r_hip': 174},{'l_hip': 113},hold
{'r_arm': 166},{'l_arm': 169},{'r_leg': 150},{'l_leg': 78},{'r_shoulder': 69},{'l_shoulder': 130},{'r_hip': 174},{'l_hip': 113},hold
